ACT_FLOW_ITEM_DATA|新增用血申请单主表
DIC_GENERAL_ADD_FEE_DEPT_CONFIG_DICT|分页查询采血信息列表
DIC_GENERAL_ADD_FEE_DICT|分页查询采血信息列表
DIC_GENERAL_GIVE_DICT|批量插入分发科室
DIC_HARDWARE_CONFIG_DICT|新增硬件配置字典
DIC_HARDWARE_REGION_CODE_DICT|新增硬件接口地区编码字典
DIC_HERBAL_PIECES_CONTRAST|新增中药饮片对照字典
DIC_HERBAL_USAGE_DICT|新增门诊中药处方附加表
DIC_HIGH_MATERIAL_PACKING_COLLATE|新增高值耗材消费表
DIC_HIGH_RISK_DRUG_CLASS|翻译字段
DIC_HOLIDAY_DICT|自动作废过期药品（药品库存）
DIC_HQMS_NATIONAL_MAP_DICT|分页查询国际疾病分类字典列表
DIC_ICD10_CLASS_DICT|新增虚拟病房字典
DIC_ICD10_DICT|新增择日/日间诊断分发字典
DIC_INFUSION_AREA_DICT|新增输液区字典表
DIC_INFUSION_BED_INFO|新增输液区床位信息表
DIC_INP_DEPT_PREPAY_REMIND_DICT|新增住院科室预交金预警字典
DIC_INSPE_SPLIT_CLASS_DICT|新增检验分管类别字典
DIC_INSUR_LIMIT_DICT_CONFIG|新增医保限制字典表
DIC_INSUR_SPECIAL_DISEASE|获取窗口
DIC_INSUR_TEMP_COMPARE|新增费别特殊收费项目分发
DIC_INSUR_TEMP_COMPARE_IMPORT_TEMP|项目编码
DIC_INTEGRATE_DICT_CONTRAST|<p>标题: 对照字典实体</p>
DIC_ITEM_CLASS_DICT|获取窗口
DIC_ITEM_MACHINE_CLASS_DICT|新增系统科目字典
DIC_LOCAL_PARAM|新增本地参数管理
DIC_LOCAL_PARAM_CLASS|新增本地参数管理
DIC_LOCAL_PARAM_CUSTOM|新增本地参数定制化管理
DIC_NATION_DRUG_PLAT_DICT|新增国家药管平台编码字典
DIC_NURSING_LEVEL_DICT|未登记：门诊收入住院登记未入院 或者 已入院未入科
DIC_OPERATION_DICT|新增手术记录表
